question,answer,platform,channel
VERTU Agent Q手机6.1寸的有吗?,有的，VERTU Agent Q配备6.02英寸120Hz柔性AMOLED屏。,domestic_jd,faq
VERTU Agent Q手机后置摄像头像素清晰吗？,非常清晰哦亲爱的，后置摄像头为6400万像素；主摄5000万像素+长焦6400万像素+超广角5000万像素，全高像素组合，支持机械变焦和人眼仿生镜头，暗光进光量多18%，夜景高光抑制提升23%，微距、长焦、夜景表现全面超越同级。,domestic_jd,faq
请介绍一下VERTU AGENT Q手机的屏幕参数。,VERTU AGENT Q手机配备了一块6.02英寸的120Hz柔性AMOLED屏幕，分辨率达到1080×2340像素。该屏幕不仅具备高刷新率带来的顺滑视觉体验，还拥有出色的色彩还原与对比度，带来沉浸式的视觉享受。,domestic_jd,graph
VERTU Agent Q刷新率多少?,120Hz。,domestic_jd,faq
VERTU QUANTUM 量子折叠 新品上新，搭载骁龙 8 至尊版芯片，支持2K+120Hz高刷吗？,搭载骁龙 8 至尊版芯片，支持2K+120Hz高刷大屏。,domestic_jd,faq
VERTU AGENT Q 旗舰新品的屏幕分辨率是多少？,视听盛宴：2K+超感内屏配合DTS:X Ultra影院级音效，是您的私人IMAX影院。,domestic_jd,faq
VERTU Signature S卫星总裁手机有LCD屏幕吗？,有，该手机配备1.98英寸高清LCD触摸屏。,domestic_jd,faq
VERTU Agent Q手机屏幕是4K屏幕吗？,VERTU Agent Q搭载6.02英寸120Hz柔性AMOLED屏，不支持4K分辨率。其屏幕在色彩、对比度、响应速度方面达到行业标杆水平，与三星W系手机屏幕材质相同，具备高画质与护眼特性。,domestic_jd,faq
VERTU AGENT Q手机的屏幕分辨率是多少像素？,VERTU AGENT Q手机的屏幕分辨率为1080×2340像素，显示效果清晰细腻，能够呈现丰富的细节。,domestic_jd,graph
VERTU Agent Q手机屏幕支持哪些特性？,搭载6.02英寸120Hz柔性AMOLED屏。,domestic_jd,faq
VERTU AGENT Q手机是否使用AMOLED屏幕？,是的，VERTU AGENT Q手机采用的是120Hz柔性AMOLED屏，具有出色的色彩表现和流畅的视觉体验。,domestic_jd,graph
VERTU AGENT Q 旗舰新品有屏幕吗？,有的哦，展示的是背部。,domestic_jd,faq
